,Protein,Fat,Total carbohydrates,Added sugars,Dietary Fiber,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Vitamin E,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Pantothenic acid,Vitamin A,Vitamin B12,Cholesterol
cheddar,50.0,41.21,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
cheese,42.26,31.6,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
chicken,42.86,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
chili,13.56,6.51,2.62,2.54,2.86,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,5.88,56.56,17.11,94.12,10.36,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clove,11.94,16.67,23.83,4.76,121.07,0.05,0.07,0.06,0.01,0.02,0.01,0.02,0.04,0.0,0.06,0.01,0.02,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.0
coconut,7.14,45.78,16.88,85.72,12.86,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cod,24.7,3.77,1.92,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
coffee,4.76,30.53,7.79,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
collard greens,4.7,0.0,2.14,0.0,12.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coriander,24.74,22.78,20.0,0.0,149.64,0.05,0.09,0.08,0.03,0.03,0.0,0.04,0.11,0.0,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn,1.6,0.0,4.65,12.8,2.86,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,35.8,0.95,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.02,0.03,0.09,0.0,0.01,0.0,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.03
cream cheese,7.14,41.21,3.89,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
cucumber,1.0,0.17,2.47,10.66,1.79,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cumin,35.62,28.55,16.09,4.5,37.5,0.07,0.37,0.09,0.04,0.04,0.01,0.04,0.1,0.0,0.02,0.05,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
date,4.9,0.5,27.27,126.8,28.57,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
egg,12.82,36.99,20.98,108.98,11.43,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
eggplant,9.6,19.23,2.96,5.62,13.93,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
endive,2.5,0.26,1.22,0.5,11.07,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
fennel,2.84,4.13,3.03,8.96,12.5,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,22.02,20.81,7.88,3.3,5.36,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.01,0.0,0.05,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01
gouda,50.0,41.21,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
ground beef,30.36,34.35,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
ham,38.0,4.96,0.57,3.08,0.0,0.0,0.0,0.0,0.02,0.01,0.05,0.02,0.01,0.0,0.0,0.04,0.01,0.04,0.02,0.0,0.01,0.0,0.0,0.0,0.02
hazelnut,14.64,40.65,20.4,97.56,8.57,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honey,0.6,0.0,29.96,164.24,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kale,7.08,1.13,3.54,0.0,6.43,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0
leek,3.14,3.91,5.35,8.14,6.79,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
lemongrass,2.6,1.36,2.98,8.8,5.36,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,1.84,0.13,1.34,2.2,4.64,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lime,17.64,19.23,14.47,74.6,2.86,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.08
lobster,41.8,1.22,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.02,0.04,0.19,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.05
mozzarella,42.86,32.05,1.3,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
mushroom,1.76,7.94,1.93,0.0,3.21,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mustard,8.5,4.33,1.93,2.84,15.36,0.0,0.01,0.01,0.01,0.0,0.05,0.01,0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mustard greens,7.06,0.0,1.71,2.36,12.5,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
octopus,26.4,16.67,4.87,0.4,1.79,0.0,0.03,0.01,0.01,0.01,0.02,0.01,0.04,0.0,0.02,0.01,0.01,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.01
onion,21.88,1.0,21.59,14.06,8.21,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.08,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange,9.52,0.0,32.9,180.96,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parmesan,56.84,35.69,5.06,0.14,0.0,0.07,0.0,0.01,0.05,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03
parsnip,2.58,3.64,6.0,9.3,12.5,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
pasta,25.0,2.29,28.57,7.14,12.86,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peach,8.88,28.49,19.39,57.78,7.86,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
peanut,18.18,34.96,22.04,103.04,10.71,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut butter,44.4,65.9,8.11,21.0,17.86,0.0,0.01,0.04,0.03,0.01,0.02,0.02,0.05,0.0,0.06,0.01,0.01,0.08,0.03,0.0,0.01,0.0,0.0,0.0,0.0
pear,0.74,0.19,5.53,19.46,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pecan,18.34,92.27,5.04,7.94,34.29,0.01,0.01,0.03,0.02,0.01,0.0,0.04,0.13,0.0,0.01,0.06,0.01,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.0
pistachio,40.0,59.83,9.7,13.34,35.71,0.01,0.03,0.05,0.04,0.0,0.02,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
plantain,4.56,37.95,23.2,1.84,12.5,0.0,0.01,0.02,0.01,0.02,0.01,0.0,0.02,0.0,0.03,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0
plum,1.4,0.36,4.15,19.84,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pork,42.86,5.72,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
potato,7.78,14.49,4.91,2.96,5.36,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.02
prosciutto,50.0,27.47,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
pumpkin,1.6,0.0,3.2,6.4,11.43,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quinoa,20.0,5.13,25.45,4.0,21.43,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,1.36,0.13,1.24,3.72,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rice,6.94,3.12,9.6,2.78,5.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ricotta,19.2,12.13,2.18,0.58,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
rutabaga,2.0,0.0,2.91,12.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rye,13.96,2.99,17.76,0.0,20.71,0.01,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salmon,30.46,10.19,0.96,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
sausage,21.34,22.22,4.36,0.0,4.64,0.0,0.02,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
sesame,6.2,57.95,3.13,16.64,3.57,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shallot,5.0,0.13,6.11,15.74,11.43,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0
shrimp,23.52,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
sour cream,6.66,21.37,2.43,6.66,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
soy sauce,16.28,0.73,1.79,0.8,2.86,0.0,0.01,0.02,0.01,0.01,0.24,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
spinach,7.06,0.0,1.28,0.0,8.57,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,1.7,0.0,7.71,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tilapia,37.5,4.58,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
tomatillo,1.92,1.31,2.12,7.86,6.79,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trout,34.2,21.67,4.25,0.4,1.79,0.0,0.01,0.01,0.02,0.01,0.02,0.0,0.01,0.0,0.03,0.02,0.01,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.02
tuna,11.32,4.83,3.77,11.32,3.21,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turnip,4.92,0.24,1.23,0.0,8.57,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,7.0,20.77,8.11,41.2,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
walnut,20.68,48.63,13.79,55.18,24.64,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
wasabi,4.46,13.97,16.77,26.4,21.79,0.0,0.0,0.01,0.0,0.0,0.15,0.01,0.01,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
watercress,4.8,3.64,0.49,0.42,1.79,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
wild rice,26.66,1.42,28.28,0.0,15.71,0.0,0.01,0.0,0.03,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0
yogurt,7.04,4.51,1.6,6.16,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zucchini,2.1,0.0,1.53,6.32,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.83,5.2,20.78,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feta,0.0,36.63,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,38.46,2.43,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mayonnaise,0.0,99.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
molasses,0.0,0.13,27.16,149.4,0.0,0.02,0.03,0.06,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0
nutmeg,0.0,128.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salsa,0.0,4.58,2.6,7.14,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sesame oil,0.0,128.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,0.0,0.0,4.92,27.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.0,23.64,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celery,0.0,0.0,1.32,3.64,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fig,0.0,0.0,23.64,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0,0.0,12.12,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maple syrup,0.0,0.0,31.52,173.34,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepper,0.0,0.0,24.24,0.0,118.93,0.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pineapple,0.0,0.0,28.57,128.58,15.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry,0.0,0.0,4.85,25.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tea,0.0,0.0,3.08,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vinegar,0.0,0.0,0.34,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
